price_group,path,value,unit_hint
global_markups,standard_markup,1.9,number
global_markups,waste_coefficient,1.1,number
classic_frames,markups.assembly_labor,250,rub_fixed
classic_frames,markups.door_assembly_labor,850,rub_fixed
classic_frames,markups.company_profit_multiplier,2,multiplier
classic_frames,markups.door_profit_multiplier,2.8,multiplier
classic_frames,markups.profile_waste_factor,1.1,rub_fixed
classic_frames,markups.ral_surcharge,1000,rub_fixed
classic_frames,markups.ral_painting_rate_m,220,rub_fixed
classic_frames,profiles.standard_25mm.white,60,number
classic_frames,profiles.standard_25mm.brown,65,number
classic_frames,profiles.standard_25mm.gray,116,number
classic_frames,profiles.standard_25mm.black,75,number
classic_frames,profiles.vsn_vsm_25mm.white,195,number
classic_frames,profiles.vsn_vsm_25mm.brown,200,number
classic_frames,profiles.vsn_vsm_25mm.gray,205,number
classic_frames,profiles.standard_32mm.white,255,number
classic_frames,profiles.standard_32mm.brown,260,number
classic_frames,profiles.standard_32mm.gray,290,number
classic_frames,profiles.impost_25mm.white,65,number
classic_frames,profiles.impost_25mm.brown,70,number
classic_frames,profiles.impost_25mm.gray,121,number
classic_frames,profiles.impost_25mm.black,80,number
classic_frames,profiles.wing_30mm.white,85,number
classic_frames,profiles.wing_30mm.brown,90,number
classic_frames,profiles.wing_30mm.gray,95,number
classic_frames,profiles.wing_30mm.black,105,number
classic_frames,profiles.door_42mm.white,290,number
classic_frames,profiles.door_42mm.brown,300,number
classic_frames,profiles.door_42mm.gray,350,number
classic_frames,corners.plastic_25mm.white,5,number
classic_frames,corners.plastic_25mm.brown,5.5,number
classic_frames,corners.plastic_25mm.gray,20,number
classic_frames,corners.plastic_25mm.black,11,number
classic_frames,corners.aluminum_25mm.white,36,number
classic_frames,corners.aluminum_25mm.brown,38,number
classic_frames,corners.aluminum_25mm.gray,50,number
classic_frames,corners.aluminum_25mm.black,46,number
classic_frames,corners.plastic_32mm.white,19,number
classic_frames,corners.plastic_32mm.brown,21,number
classic_frames,corners.plastic_32mm.gray,36,number
classic_frames,corners.door_42mm_internal_external,21,number
classic_frames,corners.vsn_vsm_25mm.white,14,number
classic_frames,corners.vsn_vsm_25mm.brown,15,number
classic_frames,corners.vsn_vsm_25mm.gray,24,number
classic_frames,meshes.standard,65,number
classic_frames,meshes.antimosquito,350,number
classic_frames,meshes.antimoshka,350,number
classic_frames,meshes.anticat,500,number
classic_frames,meshes.antipollen,900,number
classic_frames,meshes.antipyl,900,number
classic_frames,mounts.cord_5mm,6,number
classic_frames,mounts.impost_bracket,15,number
classic_frames,mounts.z_plastic.white,2,number
classic_frames,mounts.z_plastic.brown,2,number
classic_frames,mounts.z_plastic.gray,4,number
classic_frames,mounts.z_plastic.black,5,number
classic_frames,mounts.z_metal.white,7,number
classic_frames,mounts.z_metal.brown,8,number
classic_frames,mounts.z_metal.gray,20,number
classic_frames,mounts.z_metal.black,14,number
classic_frames,mounts.vsn_metal_bracket,44,number
classic_frames,mounts.handle_frame_plastic.white,2,number
classic_frames,mounts.handle_frame_plastic.brown,2,number
classic_frames,mounts.handle_frame_plastic.gray,2,number
classic_frames,mounts.handle_frame_plastic.black,2,number
classic_frames,mounts.handle_frame_metal.white,14,number
classic_frames,mounts.handle_frame_metal.brown,14,number
classic_frames,mounts.handle_frame_metal.gray,14,number
classic_frames,mounts.handle_frame_metal.black,14,number
classic_frames,mounts.handle_door_42mm.white,80,number
classic_frames,mounts.handle_door_42mm.brown,83,number
classic_frames,mounts.handle_door_42mm.gray,160,number
classic_frames,mounts.pin_41mm,95,number
classic_frames,mounts.door_latch.white,42,number
classic_frames,mounts.door_latch.brown,42,number
classic_frames,mounts.door_latch.gray,85,number
classic_frames,mounts.door_bolt,500,number
classic_frames,mounts.screw,1,number
classic_frames,hinges_42mm.standard.white,40,number
classic_frames,hinges_42mm.standard.brown,43,number
classic_frames,hinges_42mm.standard.gray,81,number
classic_frames,hinges_42mm.reinforced_pin.black,250,number
classic_frames,hinges_42mm.reinforced_pin.white,300,number
classic_frames,hinges_42mm.reinforced_pin.brown,350,number
classic_frames,hinges_42mm.reinforced_pin.gray,450,number
classic_frames,hinges_42mm.reinforced_closer.black,350,number
classic_frames,hinges_42mm.reinforced_closer.white,400,number
classic_frames,hinges_42mm.reinforced_closer.brown,450,number
classic_frames,hinges_42mm.reinforced_closer.gray,550,number
plisse_nets,markups.profit_multiplier,3.35,multiplier
plisse_nets,markups.assembly_rate_standard,750,rub_fixed
plisse_nets,markups.assembly_rate_meeting,800,rub_fixed
plisse_nets,markups.waste_factor,1.11,rub_fixed
plisse_nets,markups.ral_painting_rate_m,220,rub_fixed
plisse_nets,profiles.frame.white,163,number
plisse_nets,profiles.frame.brown,169,number
plisse_nets,profiles.frame.unpainted,130,number
plisse_nets,profiles.frame.anthracite,169,number
plisse_nets,profiles.frame.ral,163,number
plisse_nets,profiles.sash.white,263,number
plisse_nets,profiles.sash.brown,275,number
plisse_nets,profiles.sash.unpainted,192,number
plisse_nets,profiles.sash.anthracite,273,number
plisse_nets,profiles.sash.ral,263,number
plisse_nets,meshes.standard,255,number
plisse_nets,meshes.antikoshka,700,number
plisse_nets,meshes.antipyl,650,number
plisse_nets,components.insert_mesh_m,34,number
plisse_nets,components.insert_frame_m,36,number
plisse_nets,components.handle_standard,90,number
plisse_nets,components.thread_m,7,number
plisse_nets,components.rivet_pc,6,rub_per_pc
plisse_nets,components.stopper_pc,5,rub_per_pc
plisse_nets,components.accessories_set,270,rub_per_set
plisse_nets,components.packaging,50,number
plisse_nets,components.magnetic_strip_m,51,number
plisse_nets,components.low_threshold_m,220,number
plisse_blinds,markups.profit_multiplier,3.35,multiplier
plisse_blinds,markups.assembly_rate,750,rub_fixed
plisse_blinds,fabrics_m2.full_blackout,520,number
plisse_blinds,fabrics_m2.semi_blackout,480,number
plisse_blinds,lite_system.profile_m,140,number
plisse_blinds,lite_system.insert_m,26,number
plisse_blinds,lite_system.accessories_set,150,rub_per_set
plisse_blinds,cozy_system.frame_m.white,224,number
plisse_blinds,cozy_system.frame_m.anthracite,224,number
plisse_blinds,cozy_system.frame_m.brown,224,number
plisse_blinds,cozy_system.frame_m.unpainted,180,number
plisse_blinds,cozy_system.frame_m.gray,224,number
plisse_blinds,cozy_system.frame_m.black,224,number
plisse_blinds,cozy_system.frame_m.gold,224,number
plisse_blinds,cozy_system.frame_m.ral,224,number
plisse_blinds,cozy_system.sash_m.white,198,number
plisse_blinds,cozy_system.sash_m.anthracite,198,number
plisse_blinds,cozy_system.sash_m.brown,198,number
plisse_blinds,cozy_system.sash_m.unpainted,160,number
plisse_blinds,cozy_system.sash_m.gray,198,number
plisse_blinds,cozy_system.sash_m.black,198,number
plisse_blinds,cozy_system.sash_m.gold,198,number
plisse_blinds,cozy_system.sash_m.ral,198,number
plisse_blinds,cozy_system.insert_m,28,number
plisse_blinds,cozy_system.accessories_set,220,rub_per_set
plisse_blinds,cozy_system.assembly_rate,750,number
plisse_blinds,cozy_system.spring_pc,15,number
plisse_blinds,cozy_system.scotch_fix,200,number
plisse_blinds,ral_painting.rate_m,220,number
plisse_blinds,ral_painting.min_per_item,1000,number
window_works,materials.foam_can,650,number
window_works,materials.sealant_tube,450,number
window_works,materials.cosmofen_bottle,550,number
window_works,materials.screws_pack,300,number
window_works,labor_rates.seal_replacement_m,220,rub_fixed
window_works,labor_rates.comb_plastic,500,rub_fixed
window_works,labor_rates.comb_metal,900,rub_fixed
window_works,labor_rates.child_lock,900,rub_fixed
window_works,labor_rates.adjustment_window,750,rub_fixed
window_works,labor_rates.adjustment_door,1200,rub_fixed
roll_nets,markups.profit_multiplier,2,multiplier
roll_nets,markups.assembly_labor,250,rub_fixed
roll_nets,profiles.standard,80,number
roll_nets,meshes.standard,65,number
roll_nets,components.accessories_set,150,rub_per_set
logistics,delivery_base,1000,number
logistics,delivery_km,50,number
logistics,measurement_fee,1000,number
logistics,install_plisse_window,800,number
logistics,install_plisse_door,1200,number
logistics,install_plisse_portal,2000,number
logistics,install_door_standard,1000,number
