price_group,section,item_key,color,price_rub,unit_hint
classic_frames,profiles,standard_25mm,white,60,rub_per_m
classic_frames,profiles,standard_25mm,brown,65,rub_per_m
classic_frames,profiles,standard_25mm,gray,116,rub_per_m
classic_frames,profiles,standard_25mm,black,75,rub_per_m
classic_frames,profiles,vsn_vsm_25mm,white,195,rub_per_m
classic_frames,profiles,vsn_vsm_25mm,brown,200,rub_per_m
classic_frames,profiles,vsn_vsm_25mm,gray,205,rub_per_m
classic_frames,profiles,standard_32mm,white,255,rub_per_m
classic_frames,profiles,standard_32mm,brown,260,rub_per_m
classic_frames,profiles,standard_32mm,gray,290,rub_per_m
classic_frames,profiles,impost_25mm,white,65,rub_per_m
classic_frames,profiles,impost_25mm,brown,70,rub_per_m
classic_frames,profiles,impost_25mm,gray,121,rub_per_m
classic_frames,profiles,impost_25mm,black,80,rub_per_m
classic_frames,profiles,wing_30mm,white,85,rub_per_m
classic_frames,profiles,wing_30mm,brown,90,rub_per_m
classic_frames,profiles,wing_30mm,gray,95,rub_per_m
classic_frames,profiles,wing_30mm,black,105,rub_per_m
classic_frames,profiles,door_42mm,white,290,rub_per_m
classic_frames,profiles,door_42mm,brown,300,rub_per_m
classic_frames,profiles,door_42mm,gray,350,rub_per_m
classic_frames,corners,plastic_25mm,white,5,rub_per_pc
classic_frames,corners,plastic_25mm,brown,5.5,rub_per_pc
classic_frames,corners,plastic_25mm,gray,20,rub_per_pc
classic_frames,corners,plastic_25mm,black,11,rub_per_pc
classic_frames,corners,aluminum_25mm,white,36,rub_per_pc
classic_frames,corners,aluminum_25mm,brown,38,rub_per_pc
classic_frames,corners,aluminum_25mm,gray,50,rub_per_pc
classic_frames,corners,aluminum_25mm,black,46,rub_per_pc
classic_frames,corners,plastic_32mm,white,19,rub_per_pc
classic_frames,corners,plastic_32mm,brown,21,rub_per_pc
classic_frames,corners,plastic_32mm,gray,36,rub_per_pc
classic_frames,corners,door_42mm_internal_external,_fixed,21,rub_per_pc
classic_frames,corners,vsn_vsm_25mm,white,14,rub_per_pc
classic_frames,corners,vsn_vsm_25mm,brown,15,rub_per_pc
classic_frames,corners,vsn_vsm_25mm,gray,24,rub_per_pc
classic_frames,meshes,standard,_fixed,65,rub_per_m2
classic_frames,meshes,antimosquito,_fixed,350,rub_per_m2
classic_frames,meshes,antimoshka,_fixed,350,rub_per_m2
classic_frames,meshes,anticat,_fixed,500,rub_per_m2
classic_frames,meshes,antipollen,_fixed,900,rub_per_m2
classic_frames,meshes,antipyl,_fixed,900,rub_per_m2
classic_frames,mounts,cord_5mm,_fixed,6,rub_per_m
classic_frames,mounts,impost_bracket,_fixed,15,number
classic_frames,mounts,z_plastic,white,2,number
classic_frames,mounts,z_plastic,brown,2,number
classic_frames,mounts,z_plastic,gray,4,number
classic_frames,mounts,z_plastic,black,5,number
classic_frames,mounts,z_metal,white,7,number
classic_frames,mounts,z_metal,brown,8,number
classic_frames,mounts,z_metal,gray,20,number
classic_frames,mounts,z_metal,black,14,number
